split,row_index,case_id
val,18,20019
val,665,30166
val,523,30024
val,157,20158
val,205,20206
val,335,20336
val,458,20459
val,223,20224
val,928,30429
val,578,30079
val,521,30022
val,362,20363
val,895,30396
val,510,30011
val,571,30072
val,919,30420
val,407,20408
val,826,30327
val,4,20005
val,94,20095
val,560,30061
val,481,20482
val,499,20500
val,323,20324
val,93,20094
val,843,30344
val,877,30378
val,763,30264
val,389,20390
val,397,20398
val,564,30065
val,32,20033
val,386,20387
val,364,20365
val,667,30168
val,453,20454
val,440,20441
val,640,30141
val,633,30134
val,227,20228
val,369,20370
val,642,30143
val,416,20417
val,452,20453
val,81,20082
val,827,30328
val,820,30321
val,863,30364
val,370,20371
val,311,20312
val,450,20451
val,52,20053
val,912,30413
val,342,20343
val,540,30041
val,267,20268
val,721,30222
val,106,20107
val,122,20123
val,396,20397
val,992,30493
val,533,30034
val,730,30231
val,384,20385
val,105,20106
val,266,20267
val,347,20348
val,190,20191
val,864,30365
val,850,30351
val,39,20040
val,339,20340
val,188,20189
val,403,20404
val,525,30026
val,189,20190
val,812,30313
val,87,20088
val,732,30233
val,483,20484
val,5,20006
val,597,30098
val,699,30200
val,953,30454
val,442,20443
val,893,30394
val,861,30362
val,385,20386
val,332,20333
val,790,30291
val,359,20360
val,590,30091
val,504,30005
val,962,30463
val,375,20376
val,114,20115
val,170,20171
val,851,30352
val,123,20124
val,301,20302
val,615,30116
val,602,30103
val,711,30212
val,786,30287
val,918,30419
val,508,30009
val,718,30219
val,599,30100
val,221,20222
val,654,30155
val,111,20112
val,475,20476
val,484,20485
val,329,20330
val,279,20280
val,277,20278
val,349,20350
val,956,30457
val,187,20188
val,65,20066
test,974,30475
test,611,30112
test,583,30084
test,948,30449
test,69,20070
test,410,20411
test,689,30190
test,637,30138
test,177,20178
test,736,30237
test,982,30483
test,117,20118
test,586,30087
test,372,20373
test,10,20011
test,628,30129
test,927,30428
test,669,30170
test,63,20064
test,735,30236
test,500,30001
test,1,20002
test,42,20043
test,634,30135
test,529,30030
test,167,20168
test,809,30310
test,821,30322
test,76,20077
test,313,20314
test,296,20297
test,502,30003
test,490,20491
test,720,30221
test,837,30338
test,543,30044
test,641,30142
test,939,30440
test,617,30118
test,290,20291
test,779,30280
test,910,30411
test,212,20213
test,555,30056
test,967,30468
test,672,30173
test,317,20318
test,57,20058
test,791,30292
test,535,30036
test,932,30433
test,272,20273
test,15,20016
test,432,20433
test,503,30004
test,828,30329
test,621,30122
test,137,20138
test,702,30203
test,287,20288
test,451,20452
test,528,30029
test,300,20301
test,752,30253
test,622,30123
test,943,30444
test,195,20196
test,34,20035
test,286,20287
test,314,20315
test,970,30471
test,547,30048
test,333,20334
test,182,20183
test,49,20050
test,518,30019
test,102,20103
test,687,30188
test,651,30152
test,41,20042
test,553,30054
test,366,20367
test,534,30035
test,275,20276
test,675,30176
test,832,30333
test,303,20304
test,113,20114
test,749,30250
test,908,30409
test,437,20438
test,491,20492
test,526,30027
test,141,20142
test,706,30207
test,548,30049
test,609,30110
test,961,30462
test,973,30474
test,648,30149
