split,row_index,case_id
train,205,20206
train,335,20336
train,465,20466
train,66,20067
train,9,20010
train,400,20401
train,59,20060
train,423,20424
train,429,20430
train,4,20005
train,94,20095
train,48,20049
train,323,20324
train,93,20094
train,328,20329
train,251,20252
train,360,20361
train,32,20033
train,155,20156
train,128,20129
train,121,20122
train,227,20228
train,130,20131
train,81,20082
train,308,20309
train,311,20312
train,52,20053
train,416,20417
train,342,20343
train,28,20029
train,441,20442
train,209,20210
train,106,20107
train,426,20427
train,492,20493
train,21,20022
train,218,20219
train,439,20440
train,266,20267
train,347,20348
train,470,20471
train,363,20364
train,39,20040
train,385,20386
train,188,20189
train,13,20014
train,189,20190
train,380,20381
train,394,20395
train,220,20221
train,5,20006
train,85,20086
train,403,20404
train,442,20443
val,401,20402
val,332,20333
val,278,20279
val,359,20360
val,78,20079
val,462,20463
val,375,20376
val,481,20482
val,114,20115
val,170,20171
val,339,20340
val,123,20124
val,301,20302
val,103,20104
val,90,20091
val,199,20200
val,274,20275
val,422,20423
val,206,20207
val,87,20088
val,221,20222
val,142,20143
val,111,20112
val,329,20330
val,408,20409
val,277,20278
val,349,20350
val,456,20457
val,187,20188
val,65,20066
val,474,20475
val,99,20100
val,71,20072
val,497,20498
val,69,20070
val,412,20413
val,125,20126
val,177,20178
val,224,20225
val,482,20483
val,117,20118
val,74,20075
val,372,20373
val,10,20011
val,116,20117
val,430,20431
val,157,20158
val,63,20064
val,223,20224
val,1,20002
val,42,20043
val,122,20123
val,17,20018
val,167,20168
val,297,20298
val,309,20310
val,76,20077
val,313,20314
val,296,20297
val,208,20209
val,325,20326
val,31,20032
val,129,20130
val,440,20441
val,105,20106
val,290,20291
val,267,20268
val,398,20399
val,212,20213
val,43,20044
val,467,20468
val,160,20161
val,317,20318
val,57,20058
val,279,20280
test,23,20024
test,420,20421
test,272,20273
test,15,20016
test,432,20433
test,316,20317
test,109,20110
test,137,20138
test,190,20191
test,287,20288
test,451,20452
test,16,20017
test,300,20301
test,240,20241
test,110,20111
test,431,20432
test,195,20196
test,34,20035
test,286,20287
test,314,20315
test,458,20459
test,35,20036
test,333,20334
test,182,20183
test,49,20050
test,6,20007
test,102,20103
test,175,20176
test,139,20140
test,480,20481
test,41,20042
test,366,20367
test,22,20023
test,275,20276
test,163,20164
test,320,20321
test,303,20304
test,113,20114
test,237,20238
test,396,20397
test,437,20438
test,491,20492
test,14,20015
test,141,20142
test,194,20195
test,36,20037
test,97,20098
test,449,20450
test,461,20462
test,136,20137
